Process   Time          Max Iteration
0         0.068955        104
1         0.096969        94
2         0.070840        109
3         0.070380        2000
4         0.197974        2000
5         0.396684        2000
6         0.895700        2000
7         0.944790        2000
8         1.231937        2000
9         1.185422        2000
10         0.933203        2000
11         0.346740        2000
12         0.106480        2000
13         0.092001        373
14         0.047201        107
15         0.049784        96
